id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,nav_sum,org_sum,loc_sum,op_sum,con_sum,goal_sum,inc_sum,total,q22,q23,q24
41459,1,1,1,1,1,1,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,3,3,6,2,3,3,3,23,Adding a way to pick our character.,The last level wasn't explained well enough for me.,Describe last level more clearly.
42567,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,2,0,0,0,0,4,1,4,9,"Add rewards, maybe, or more praise for completing. People, especially kids, love hearing that they are right, and love receiving things (even if it doesn't help the gameplay experience).",The explanation of how and where to add files to create bridges was lacking. The minimal explanation negatively impacted the game.,"Add explanations, similar to the tutorial, only not as in depth."
43268,0,0,0,1,0,1,1,1,1,2,1,1,1,2,1,0,-1,0,0,0,0,0,2,3,4,4,-1,0,12,It could have been not as repetative towards the end.,Figuring out how to move a file.,Add a little bit more detail in the dialogue.
43933,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,20,Maybe you could maybe explain a little more in the instructions.,I did not understand how to make the river appear.,Maybe you could just explaine a little more about how to delete or add a file.
48196,1,0,0,1,0,1,1,1,2,1,0,2,1,-1,1,1,0,1,-1,-1,0,1,2,4,3,1,2,-2,11,Adding more areas where platforming is needed.,That we are meant to delete the files.,Stating its okay to delete the files when needed.
52978,2,2,2,1,1,0,2,2,2,0,0,1,2,2,2,2,2,1,2,2,1,6,2,6,1,6,5,5,31,You have to organize the files.,It was an easy game to understand.,I had no problem with the communication.
54253,2,2,1,2,2,1,1,1,1,2,1,2,0,1,-1,-1,1,0,1,1,0,5,5,3,5,0,0,2,20,I think that maybe it could be explained a little bit more but otherwise it was fun to play and easy to read.,I just think there were a lot of steps to follow sometimes.,I think it's an amazing game and very educational. Over all I don't think anything needs to be changed.
55789,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,0,2,2,1,2,2,4,3,5,5,5,4,5,31,Maybe different types of files a little bit better graphics.,I didn't have any difficulties.,Nothing.
55988,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,0,1,6,4,6,3,4,4,2,29,Each level something different instead of somewhat the same. Maybe more locations.,Directions,Directions need to be more clear and availability for help.
58376,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,3,3,3,3,0,3,17,It would be more engaging if there was a different character instead of the spider thing.,The platform was hard to find.,It was well-explained
61152,0,0,1,1,0,1,0,1,1,1,1,1,2,2,2,0,1,1,1,0,2,1,2,2,3,6,2,3,19,Different and more readable fonts would help.,"I thought I copied a file when I didn't, that was on me though.",Specify that you have to press something to apply your changes to the game. (Unless I didn't read that part)
64497,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,3,3,3,3,1,1,0,14,You could add sound effects and be able to explore.,I didn't understand the bridge part but I figured it out.,I think the file system was fine and don't know what else you could have done.
65458,1,1,0,0,-1,1,1,1,1,0,0,0,1,1,-1,-1,0,-1,1,0,-1,2,0,3,0,1,-2,0,4,,,
66678,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,2,2,3,0,1,1,3,12,If the game had a little more detail.,How to tmake item be brought to the game from files.,If the game had a little bit more detail on the objective.
68497,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,3,3,3,3,3,17,It was really good.,I would do what it told me and I would get it wrong.,It was a good game.
72378,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,6,6,6,6,3,3,3,33,Maybe the writing could be in an easier to read font.,"The ""s"" wasn't working. I had a hard time remembering the files in order.",You could make the order of the files stay even when I opened the files.
81555,0,1,1,0,0,1,2,0,1,1,0,1,0,1,1,-1,-1,0,1,0,2,2,1,3,2,2,-2,3,11,It could show you how to do something before just for the first few times.,I couldn't get anything to work and it glitched a few times.,
82589,2,2,1,1,1,1,0,1,1,1,2,1,1,1,1,0,0,0,0,1,1,5,3,2,4,3,0,2,19,There could be animations in the background.,I don't know how to run a file I created.,Give candy as a finishing reward.
85632,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,3,2,3,3,1,3,17,Maybe use a little more color.,I had trouble understanding where to put some of the files.,
91459,2,2,2,2,1,1,1,1,1,1,0,1,2,2,2,1,2,2,1,1,1,6,4,3,2,6,5,3,29,I feel like the game could have been more engaging if it had a little bit of platforming during the levels.,At one point I didn't realize that I had to create a file with a specific name but I overcame this by copy pasting the file from the storage folder in each puzzle to the proper location.,
94258,1,2,2,2,2,2,1,1,1,1,2,2,0,1,2,2,2,2,2,1,2,5,6,3,5,3,6,5,33,A cool transition when the log and the scaffolding comes in it like doesn't just appear it builds itself.,,
